trial_number,runtime_seconds,average_utility,front_numbers,front_size,front_changed,on_front,dynamic_runtime_ref,dynamic_utility_ref,dynamic_hv,dynamic_hv_delta,fixed_runtime_ref,fixed_utility_ref,fixed_hv,fixed_hv_delta
18,1.6219999999999999,2998.9652,"[6, 16, 13, 18, 1, 14, 4, 10, 15, 3, 12, 0]",12,True,True,72.81960000000001,1338.5461488757044,36512.74281847865,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
19,3.822,6303.0468,"[6, 16, 13, 18, 1, 14, 4, 19, 10, 15, 3, 12, 0]",13,True,True,72.81960000000001,1338.5461488757044,36512.74281847865,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
20,13.636000000000001,9603.988800000001,"[6, 16, 13, 18, 1, 14, 4, 19, 10, 15, 20, 3, 12, 0]",14,True,True,72.81960000000001,1338.5461488757044,36512.74281847865,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
21,1.45,2501.692647011952,"[6, 21, 18, 1, 14, 4, 19, 10, 15, 20, 3, 12, 0]",13,True,True,72.81960000000001,1338.5461488757044,36512.74281847865,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
22,171.26399999999998,10231.0948,"[6, 21, 18, 1, 14, 4, 19, 10, 15, 20, 3, 12, 0]",13,False,False,72.81960000000001,1338.5461488757044,36512.74281847865,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
23,93.622,6545.168167664671,"[6, 21, 18, 1, 14, 4, 19, 10, 15, 20, 3, 12, 0]",13,False,False,72.81960000000001,1338.5461488757044,36512.74281847865,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
24,1.384,4613.500356886228,"[6, 24, 4, 19, 10, 15, 20, 3, 12, 0]",10,True,True,72.81960000000001,1338.5461488757044,36512.74281847865,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
25,4.2,7685.223106586825,"[6, 24, 4, 19, 25, 10, 15, 20, 3, 12, 0]",11,True,True,72.81960000000001,1338.5461488757044,36512.74281847865,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
26,1.698,5167.039614371258,"[6, 24, 26, 4, 19, 25, 10, 15, 20, 3, 12, 0]",12,True,True,72.81960000000001,1338.5461488757044,36512.74281847865,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
27,2.2359999999999998,6016.892,"[6, 24, 26, 27, 4, 19, 25, 10, 15, 20, 3, 12, 0]",13,True,True,72.81960000000001,1338.5461488757044,36512.74281847865,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
28,54.513999999999996,12078.278,"[6, 24, 26, 27, 4, 19, 25, 10, 15, 20, 3, 12, 28]",13,True,True,57.2397,1338.5461488757044,29273.28710660953,-7239.455711869119,179.82719999999998,885.560033371296,1402595.305095736,189282.29047779692
29,1.448,4802.618126946108,"[6, 24, 29, 26, 27, 4, 19, 25, 10, 15, 20, 3, 12, 28]",14,True,True,57.2397,1338.5461488757044,29273.28710660953,0.0,179.82719999999998,885.560033371296,1402595.305095736,0.0
30,5.896,8487.48836007984,"[6, 24, 29, 26, 27, 4, 19, 25, 30, 20, 3, 12, 28]",13,True,True,57.2397,1338.5461488757044,29273.28710660953,0.0,179.82719999999998,885.560033371296,1402595.305095736,0.0
31,12.35,10532.024885429142,"[6, 24, 29, 26, 27, 4, 19, 25, 30, 31, 28]",11,True,True,57.2397,1338.5461488757044,29273.28710660953,0.0,179.82719999999998,885.560033371296,1402595.305095736,0.0
32,2.914,932.1684561803115,"[6, 24, 29, 26, 27, 4, 19, 25, 30, 31, 28]",11,False,False,57.2397,1338.5461488757044,29273.28710660953,0.0,179.82719999999998,885.560033371296,1402595.305095736,0.0
33,1.004,3221.284,"[33, 24, 29, 26, 27, 4, 19, 25, 30, 31, 28]",11,True,True,57.2397,3060.2198,24580.52123574003,-4692.765870869498,179.82719999999998,885.560033371296,1402595.305095736,0.0
34,20.27,4008.884465469062,"[33, 24, 29, 26, 27, 4, 19, 25, 30, 31, 28]",11,False,False,57.2397,3060.2198,24580.52123574003,0.0,179.82719999999998,885.560033371296,1402595.305095736,0.0
35,19.822,10757.5536,"[33, 24, 29, 26, 27, 4, 19, 25, 30, 31, 35, 28]",12,True,True,57.2397,3060.2198,24580.52123574003,0.0,179.82719999999998,885.560033371296,1402595.305095736,0.0
